Chi_0_0,Chi_0_1,Chi_0_2,Chi_1_0,Chi_1_1,Chi_1_2,Chi_2_0,Chi_2_1,Chi_2_2,Chi_3_0,Chi_3_1,Chi_3_2,Chi_4_0,Chi_4_1,Chi_4_2,Chi_5_0,Chi_5_1,Chi_5_2,Chi_6_0,Chi_6_1,Chi_6_2,Chi_7_0,Chi_7_1,Chi_7_2,Chi_8_0,Chi_8_1,Chi_8_2,Chi_9_0,Chi_9_1,Chi_9_2,Chi_10_0,Chi_10_1,Chi_10_2,Chi_11_0,Chi_11_1,Chi_11_2,Chi_12_0,Chi_12_1,Chi_12_2,Chi_13_0,Chi_13_1,Chi_13_2,Chi_14_0,Chi_14_1,Chi_14_2,Chi_15_0,Chi_15_1,Chi_15_2,Chi_16_0,Chi_16_1,Chi_16_2,Chi_17_0,Chi_17_1,Chi_17_2,Chi_18_0,Chi_18_1,Chi_18_2,Chi_19_0,Chi_19_1,Chi_19_2
0.0,0.0,0.0,0.0009995816455684037,0.0062405607927920265,0.03555569656089841,0.0017766907814624477,0.012512710652736405,0.07111139312179682,0.002330345083934121,0.018808521115897193,0.10666708968269524,0.002659844692765201,0.025120033809576132,0.14222278624359364,0.0027647730959424466,0.0314392705122877,0.17777848280449204,0.00264499765615972,0.037758243238824436,0.21333417936539048,0.0023006697784817287,0.044068964337664406,0.24888987592628883,0.0017322247189563988,0.05036345658795685,0.28444557248718727,0.0009403810344190688,0.0566337632833226,0.3200012690480857,-7.386032581691016e-05,0.06287195828972283,0.3555569656089841,-0.001309217285234393,0.06907015606468203,0.3911126621698825,-0.0027641282607528406,0.07522052162520006,0.42666835873078096,-0.004436754136684984,0.08131528045175364,0.46222405529167937,-0.0063249805895163325,0.087346728315867,0.49777975185257767,-0.008426420760567127,0.0933072410188301,0.5333354484134761,-0.010738418273159162,0.09918928402925245,0.5688911449743745,-0.013258050590473719,0.10498542200727147,0.604446841535273,-0.015982132709855268,0.11068832820337499,0.6400025380961714,-0.01890722118889182,0.11629079371995767,0.6755582346570699
0.0,0.0,0.0,0.0009169757173219661,0.006154585014475587,0.033917325134292735,0.0016247170076166273,0.012336725698136675,0.06783465026858547,0.0021224097740074055,0.01853931089117093,0.10175197540287821,0.0024094815331135444,0.024755205916964822,0.13566930053717094,0.002485602073563048,0.03097726078894137,0.16958662567146365,0.002350683835826678,0.03719831843500862,0.20350395080575642,0.0020048820129353884,0.04341122293015825,0.2374212759400491,0.0014485943719655392,0.049608827727744956,0.2713386010743419,0.0006824607964977802,0.055784003879977916,0.3052559262086346,-0.00029263744942489844,0.06192964823816883,0.3391732513429273,-0.0014755787349930993,0.068038691623304,0.37309057647722005,-0.002865002352814172,0.07410410695754177,0.40700790161151285,-0.004459310084099666,0.08011891734728216,0.4409252267458056,-0.00625666803705599,0.08607620410851079,0.4748425518800982,-0.008255008756363341,0.09196911472518603,0.508759877014391,-0.010452033601317662,0.09779087073151428,0.5426772021486838,-0.012845215389898246,0.10353477550904773,0.5765945272829764,-0.01543180130572186,0.10919422198963474,0.6105118524172692,-0.01820881606453703,0.11476270025536303,0.644429177551562
0.0,0.0,0.0,0.0008623144749322909,0.006091931560718217,0.0327948779294518,0.0015244169377109373,0.012208861895693021,0.0655897558589036,0.0019855953582958996,0.018344212811373328,0.0983846337883554,0.0022453537818952207,0.024491386304575036,0.1311795117178072,0.0023034128623183048,0.030643771658023965,0.163974389647259,0.002159710162387113,0.036794752549571666,0.1967692675767108,0.001814400221081508,0.042937714167438724,0.22956414550616255,0.0012678543873469172,0.04906605032383387,0.2623590234356144,0.0005206604207428356,0.055173170559298615,0.2951539013650662,-0.0004263781406385059,0.06125250723013773,0.327948779294518,-0.001572242844302657,0.06729752257131338,0.3607436572239698,-0.00291570141860506,0.07330171572720752,0.3935385351534216,-0.004455309097945032,0.07925862974269154,0.4263334130828734,-0.006189410176477839,0.08516185850698516,0.4591282910123251,-0.008116139788673399,0.09100505364283687,0.49192316894177696,-0.01023342591480686,0.09678193133361719,0.5247180468712288,-0.01253899160922442,0.10248627908098301,0.5575129248006806,-0.015030357448988091,0.10811196238584572,0.5903078027301324,-0.017704844200265996,0.11365293134545842,0.6231026806595842
0.0,0.0,0.0,0.0008432723287262744,0.006059185334853898,0.03234098393038628,0.0014901778331261328,0.012142469678929974,0.06468196786077256,0.00194003994832051,0.01824349084098283,0.09702295179115884,0.0021923881868804174,0.02435586807975005,0.12936393572154511,0.002246958630885365,0.030473208777238216,0.16170491965193137,0.0021036942079411813,0.03658911512443015,0.19404590358231769,0.0017627447508695715,0.04269719081242111,0.22638688751270392,0.0012244668410050508,0.04879104772198635,0.25872787144309023,0.0004894234352658122,0.05486431260458311,0.2910688553734765,-0.00044161672261433527,0.06091063374780057,0.32340983930386275,-0.001567679906074787,0.06692368761828593,0.35575082323424906,-0.0028875884240982252,0.07289718547519969,0.38809180716463537,-0.004399961852896622,0.07882487994728313,0.42043279109502163,-0.006103218479624695,0.08470057156665958,0.45277377502540783,-0.007995576956611267,0.09051811525253603,0.48511475895579415,-0.010075058164378425,0.09627142673802395,0.5174557428861805,-0.012339487281499611,0.10195448893335825,0.5497967268165668,-0.014786496059132598,0.10756135821885891,0.582137710746953,-0.017413525297847954,0.11308617066105446,0.6144786946773393
0.0,0.0,0.0,0.0008582066286896561,0.0060552404880151005,0.03252779093194905,0.0015190304162156776,0.012135188506465921,0.0650555818638981,0.001981772234869228,0.01823341168986069,0.09758337279584715,0.0022459425205132166,0.024343458338242925,0.1301111637277962,0.0023112617905230726,0.03045886424285707,0.16263895465974523,0.002177660939469417,0.036573159525047985,0.1951667455916943,0.0018452813122291356,0.04267987548115891,0.22769453652364333,0.00131447455444747,0.04877255142618647,0.2602223274555924,0.0005858022405099139,0.05484474152895213,0.29275011838754145,-0.0003399647205836742,0.060890021631558766,0.32527790931949047,-0.0014618469008124135,0.06690199604591796,0.35780570025143954,-0.002778657389334388,0.0728743043201569,0.3903334911833886,-0.0042890030481951,0.07880062796774694,0.4228612821153377,-0.005991285986217343,0.08467469715223416,0.45538907304728665,-0.007883705249512207,0.09049029732050007,0.4879168639792357,-0.009964258726823522,0.09624127577753433,0.5204446549111847,-0.012230745267689053,0.10192154819576393,0.5529724458431339,-0.014680767011178236,0.10752510505205211,0.5855002367750829,-0.017311731922742546,0.11304601798555701,0.618028027707032
0.0,0.0,0.0,0.0008987621345222518,0.0060733408683239926,0.033195074085615076,0.0015954611587806478,0.012173164894220384,0.06639014817123015,0.002089329441595067,0.018292751219825685,0.09958522225684523,0.0023798228330821347,0.024425357212942134,0.1327802963424603,0.0024666212642061036,0.03056422589614915,0.16597537042807536,0.002349629099434536,0.03670259339172055,0.19917044451369045,0.0020289752421107643,0.042833696374144574,0.23236551859930552,0.0015050129924265576,0.04895077952203552,0.2655605926849206,0.0007783196581519769,0.05504710296122625,0.29875566677053567,-0.000150304081449254,0.06111594969084091,0.33195074085615073,-0.0012798350578174245,0.06715063298416545,0.36514581494176584,-0.002609028740436281,0.07314450375616173,0.3983408890273809,-0.0041364206080710675,0.07909095788950782,0.431535963112996,-0.005860327762395479,0.08498344351109183,0.46473103719861103,-0.007778850782228647,0.09081546821094313,0.4979261112842261,-0.00988987581633996,0.09658060619564576,0.5311211853698412,-0.01219107691251492,0.10227250536835325,0.5643162594554563,-0.014679918580316947,0.10788489432760386,0.5975113335410713,-0.017353658584720433,0.1134115892772241,0.6307064076266865
0.0,0.0,0.0,0.0009532329720670085,0.0061039109248243115,0.034118371045724835,0.0016976960898661964,0.012236785971934106,0.06823674209144967,0.0022325228353081983,0.018391486779413314,0.10235511313717452,0.002557090696627823,0.024560849581244937,0.13647348418289934,0.0026710218929567597,0.030737693545578846,0.17059185522862416,0.002574183814041786,0.03691482913286341,0.20471022627434904,0.0022666891745965756,0.043085066464112316,0.23882859732007383,0.001748895883107171,0.04924122368956667,0.2729469683657987,0.0010214066252445253,0.05537613534801129,0.30706533941152353,8.506816236814041e-05,0.06148266070701566,0.3411837104572483,-0.0010590296540620159,0.06755369207439181,0.37530208150297323,-0.002409555151018483,0.07358216307119489,0.4094204525486981,-0.003964936383907491,0.07956105685663732,0.4435388235944229,-0.0057233629662345464,0.08548341429534283,0.47765719464014766,-0.007682788176804317,0.09134234205743455,0.5117755656858726,-0.009840931342002368,0.09713102064202829,0.5458939367315974,-0.012195280490385985,0.10284271231479307,0.5800123077773223,-0.014743095276494256,0.10847076895033908,0.6141306788230471,-0.01748141017047386,0.11400863977030543,0.648249049868772
0.0,0.0,0.0,0.0010097733180544632,0.006137260873124302,0.03507388761540748,0.0018037121328576544,0.012306156587673714,0.07014777523081496,0.0023808398587903956,0.018499099084306223,0.10522166284622245,0.0027404465990357174,0.02470847072489977,0.14029555046162992,0.0028820900187882803,0.030926633662639334,0.1753694380770374,0.002805595889349144,0.03714593923696181,0.2104433256924449,0.0025110583024358923,0.04335873738180222,0.24551721330785234,0.001998839554445103,0.04955738603556894,0.28059110092325984,0.0012695697008089368,0.05573426054127283,0.31566498853866737,0.000324145780994739,0.06188176302524796,0.3507388761540748,-0.0008362692848998265,0.06799233174292738,0.3858127637694823,-0.0022102481265982854,0.07405845038017822,0.4208866513848898,-0.003796100679384379,0.08007265729875518,0.4559605390002973,-0.0055918762629686425,0.08602755471449962,0.4910344266157047,-0.007595365980925584,0.091915817796995,0.5261083142311122,-0.009804105437749927,0.09773020367948546,0.5611822018465197,-0.012215377770190244,0.10346356036797479,0.5962560894619272,-0.01482621698913028,0.10910883553854725,0.6313299770773347,-0.017633411627908463,0.11465908521208916,0.6664038646927422
0.0,0.0,0.0,0.0010588313953126538,0.006165569944276587,0.03588490815557491,0.0018957776919670544,0.012365158443361255,0.07176981631114981,0.0025097612475762365,0.018590782978691666,0.10765472446672472,0.0028999915040039126,0.02483442750800584,0.14353963262229963,0.0030659660052780313,0.03108805278670565,0.1794245407778745,0.0030074710445472663,0.037343606719095306,0.21530944893344944,0.002724581939247711,0.04359303472616677,0.2511943570890243,0.002217662934124648,0.049828290116582755,0.28707926524459926,0.001487366732235429,0.056041344447503465,0.3229641734001742,0.0005346336545366814,0.06222419786191699,0.358849081555749,-0.000639309570862362,0.06836888938916279,0.39473398971132395,-0.002032951388220683,0.0744675071953855,0.4306188978668989,-0.003644497360427129,0.08051219877072097,0.4665038060224738,-0.00547187247949707,0.08649518104009721,0.5023887141780486,-0.007512723838328628,0.09240875038463202,0.5382736223336235,-0.009764423660278687,0.09824529256072369,0.5741585304891985,-0.012224072682657683,0.10399729250406306,0.6100434386447734,-0.014888503889787047,0.10965734400594378,0.6459283468003484,-0.017754286590811574,0.11521815924941077,0.6818132549559233
0.0,0.0,0.0,0.001094482577106315,0.006183951511797615,0.03644448946877311,0.0019629173189223414,0.012403675742907882,0.07288897893754621,0.002604150897380947,0.01865091256487249,0.10933346840631934,0.003017331719785632,0.02491736531103201,0.14577795787509243,0.0032019110597712175,0.031194711794945706,0.18222244734386556,0.003157643786042136,0.03747461536270293,0.21866693681263868,0.0028845886879198535,0.04374873596444806,0.25511142628141176,0.0023831083972676026,0.05000874123041554,0.29155591575018486,0.001653868906895728,0.05624631753676527,0.328000405218958,0.0006978386860873598,0.06245318104652237,0.3644448946877311,-0.000483712605580916,0.06862108871095852,0.4008893841565042,-0.0018892158044152285,0.07474184921680417,0.43733387362527737,-0.0035168043265383087,0.0808073338647533,0.47377836309405047,-0.005364316646813194,0.08680948736481353,0.5102228525628235,-0.00742929916946522,0.09274033853416479,0.5466673420315966,-0.009709009486588788,0.09859201088331879,0.5831118315003697,-0.01220042002021307,0.1043567330765211,0.6195563209691429,-0.01490022204308819,0.11002684925250311,0.656000810437916,-0.017804830072853106,0.11559482919187775,0.6924452999066891
