time,tracking_error,contact_force
6.082000,0.179082,4.156423
6.122000,0.178428,4.084969
6.162000,0.177724,3.815676
6.202000,0.176999,3.459400
6.242000,0.176321,3.066122
6.282000,0.175624,2.491292
6.322000,0.174870,1.850346
6.362000,0.174077,1.170413
6.402000,0.173321,0.644460
6.442000,0.172465,-0.000000
6.482000,0.171536,0.011347
6.522000,0.170624,-0.000000
6.562000,0.169762,-0.000000
6.602000,0.168902,-0.000000
6.642000,0.168061,-0.000000
6.682000,0.167235,-0.000000
6.722000,0.166427,-0.000000
6.762000,0.165629,-0.000000
6.802000,0.164801,-0.000000
6.842000,0.163931,-0.000000
6.882000,0.163001,-0.000000
6.922000,0.162014,-0.000000
6.962000,0.161069,-0.000000
7.002000,0.160106,-0.000000
7.042000,0.159176,-0.000000
7.082000,0.158278,-0.000000
7.122000,0.157408,-0.000000
7.162000,0.156563,-0.000000
7.202000,0.155757,-0.000000
7.242000,0.154959,-0.000000
7.282000,0.154159,-0.000000
7.322000,0.153347,-0.000000
7.362000,0.152500,-0.000000
7.402000,0.151589,-0.000000
7.442000,0.150589,-0.000000
7.482000,0.149571,-0.000000
7.522000,0.148630,-0.000000
7.562000,0.147692,-0.000000
7.602000,0.146786,-0.000000
7.642000,0.145912,-0.000000
7.682000,0.145068,-0.000000
7.722000,0.144252,-0.000000
7.762000,0.143458,-0.000000
7.802000,0.142680,-0.000000
7.842000,0.141910,-0.000000
7.882000,0.141139,-0.000000
7.922000,0.140383,-0.000000
7.962000,0.139647,-0.000000
8.002000,0.138868,-0.000000
8.042000,0.138034,-0.000000
8.082000,0.137133,-0.000000
8.122000,0.136167,0.189295
8.162000,0.135219,0.377925
8.202000,0.134307,0.559159
8.242000,0.133429,0.733287
8.282000,0.132585,0.900587
8.322000,0.131771,1.061328
8.362000,0.130986,1.215765
8.402000,0.130226,1.364147
8.442000,0.129491,1.506711
8.482000,0.128777,1.643685
8.522000,0.128102,1.775288
8.562000,0.127445,1.901730
8.602000,0.126797,2.023215
8.642000,0.126154,2.139937
8.682000,0.125514,2.252081
8.722000,0.124870,2.359829
8.762000,0.124217,2.463351
8.802000,0.123547,2.562815
8.842000,0.122853,2.658378
8.882000,0.122128,2.750194
8.922000,0.121364,2.838411
8.962000,0.120557,2.923168
9.002000,0.119711,3.004601
9.042000,0.118877,3.082842
9.082000,0.118075,3.158015
9.122000,0.117303,3.230240
9.162000,0.116562,3.299634
9.202000,0.115848,3.366306
9.242000,0.115160,3.430364
9.282000,0.114498,3.491910
9.322000,0.113859,3.551043
9.362000,0.113243,3.607858
9.402000,0.112648,3.662444
9.442000,0.112073,3.714891
9.482000,0.111535,3.765280
9.522000,0.111014,3.813694
9.562000,0.110506,3.860210
9.602000,0.110012,3.904902
9.642000,0.109530,3.947841
9.682000,0.109060,3.989097
9.722000,0.108600,4.028735
9.762000,0.108149,4.066819
9.802000,0.107706,4.103409
9.842000,0.107269,4.138565
9.882000,0.106838,4.172343
9.922000,0.106410,4.204796
9.962000,0.105985,4.235976
10.002000,0.105561,4.265934
10.042000,0.105137,4.294717
10.082000,0.104712,4.322371
10.122000,0.104285,4.348942
10.162000,0.103857,4.374470
10.202000,0.103431,4.398997
10.242000,0.103005,4.422563
10.282000,0.102579,4.445205
10.322000,0.102151,4.466958
10.362000,0.101719,4.487859
10.402000,0.101283,4.507941
10.442000,0.100842,4.527235
10.482000,0.100392,4.545772
10.522000,0.099928,4.563583
10.562000,0.099443,4.580695
10.602000,0.098956,4.597136
10.642000,0.098483,4.612932
10.682000,0.098023,4.628109
10.722000,0.097577,4.642691
10.762000,0.097145,4.656702
10.802000,0.096726,4.670163
10.842000,0.096320,4.683096
10.882000,0.095926,4.695522
10.922000,0.095544,4.707460
10.962000,0.095174,4.718931
11.002000,0.094814,4.729952
11.042000,0.094464,4.740541
11.082000,0.094124,4.750714
11.122000,0.093792,4.760489
11.162000,0.093467,4.769880
11.202000,0.093150,4.778903
11.242000,0.092855,4.787573
11.282000,0.092567,4.795902
11.322000,0.092285,4.803905
11.362000,0.092006,4.811594
11.402000,0.091732,4.818981
11.442000,0.091459,4.826079
11.482000,0.091188,4.832899
11.522000,0.090918,4.839200
11.562000,0.090651,4.837160
11.602000,0.090391,4.821758
11.642000,0.090137,4.793559
11.682000,0.089889,4.791136
11.722000,0.089645,4.799325
11.762000,0.089405,4.807194
11.802000,0.089168,4.814754
11.842000,0.088934,4.822017
11.882000,0.088700,4.828996
11.922000,0.088467,4.835701
11.962000,0.088234,4.842144
12.002000,0.087998,4.848333
12.042000,0.087758,4.854280
12.082000,0.087514,4.859994
12.122000,0.087262,4.865484
12.162000,0.087000,4.870579
12.202000,0.086726,4.873961
12.242000,0.086439,4.875056
12.282000,0.086132,4.873568
12.322000,0.085798,4.869104
12.362000,0.085563,4.872012
12.402000,0.085355,4.876990
12.442000,0.085111,4.881784
12.482000,0.084830,4.884264
12.522000,0.084502,4.882164
12.562000,0.084140,4.877137
12.602000,0.083778,4.872638
12.642000,0.083421,4.869073
12.682000,0.083069,4.866525
12.722000,0.082722,4.865002
12.762000,0.082380,4.864465
12.802000,0.082044,4.864874
12.842000,0.081713,4.866149
12.882000,0.081387,4.868180
12.922000,0.081066,4.870859
12.962000,0.080749,4.874087
13.002000,0.080437,4.877829
13.042000,0.080133,4.882125
13.082000,0.079839,4.886706
13.122000,0.079545,4.891147
13.162000,0.079262,4.895416
13.202000,0.078989,4.899516
13.242000,0.078722,4.903456
13.282000,0.078459,4.907242
13.322000,0.078200,4.910879
13.362000,0.077944,4.914374
13.402000,0.077688,4.917731
13.442000,0.077431,4.920957
13.482000,0.077172,4.924056
13.522000,0.076910,4.927034
13.562000,0.076640,4.929895
13.602000,0.076362,4.932644
13.642000,0.076071,4.935285
13.682000,0.075765,4.937822
13.722000,0.075436,4.940260
13.762000,0.075079,4.942603
13.802000,0.074682,4.944853
13.842000,0.074327,4.947016
13.882000,0.074131,4.949093
13.922000,0.073946,4.951089
13.962000,0.073766,4.953007
14.002000,0.073589,4.954850
14.042000,0.073363,4.956620
14.082000,0.073032,4.958321
14.122000,0.072607,4.959955
14.162000,0.072168,4.961525
14.202000,0.071727,4.963034
14.242000,0.071287,4.964483
14.282000,0.070850,4.965876
14.322000,0.070415,4.966592
14.362000,0.069987,4.964460
14.402000,0.069565,4.958967
14.442000,0.069149,4.949840
