time,h_tail,h_min,V
6.041000000000352088e+00,4.338676785306614520e-03,1.552666948315368362e-03,5.135005288304095306e-01
6.061000000000358767e+00,4.406224751745933116e-03,1.575711731967317092e-03,5.141459781146757724e-01
6.081000000000365446e+00,4.471398967868026736e-03,1.602369088338623931e-03,5.147526647738707162e-01
6.101000000000372125e+00,4.535411876636561562e-03,1.632010280844049116e-03,5.153204817652535796e-01
6.121000000000378805e+00,4.604295944748756225e-03,1.657650149630835595e-03,5.158429833045317103e-01
6.141000000000385484e+00,4.679540491017011167e-03,1.655870084099248657e-03,5.163179790289811333e-01
6.161000000000392163e+00,4.819218548606177960e-03,1.637314208074742289e-03,5.166777774584427885e-01
6.181000000000398842e+00,4.982872825286057544e-03,1.614056531632507979e-03,5.169606926901604282e-01
6.201000000000405521e+00,5.161542091093557910e-03,1.590665053045964977e-03,5.172700221394610498e-01
6.221000000000412200e+00,5.346121432529517964e-03,1.569806041237815225e-03,5.176161429490543364e-01
6.241000000000418879e+00,5.524522652087134750e-03,1.553145013356422438e-03,5.179210147614241588e-01
6.261000000000425558e+00,5.696561989257022812e-03,1.540665110433065560e-03,5.181827845679334299e-01
6.281000000000432237e+00,5.862387740271059883e-03,1.532310790005448481e-03,5.184018052161929457e-01
6.301000000000438916e+00,6.012382959763602069e-03,1.529174747728085509e-03,5.185090420642718412e-01
6.321000000000445596e+00,6.142665182439634858e-03,1.531693186056577033e-03,5.184814478318378050e-01
6.341000000000452275e+00,6.267558840766542655e-03,1.538155081765652660e-03,5.184252048410902258e-01
6.361000000000458954e+00,6.388029958799276015e-03,1.548358722209670219e-03,5.183470297931469517e-01
6.381000000000465633e+00,6.504241398023042492e-03,1.562197041205710263e-03,5.182476941527802694e-01
6.401000000000472312e+00,6.616327147862841734e-03,1.579570559497662369e-03,5.181277686286410722e-01
6.421000000000478991e+00,6.724479555137833492e-03,1.598067957416033497e-03,5.179882743237458342e-01
6.441000000000485670e+00,6.828854112619773403e-03,1.592564684594195007e-03,5.178299707555389375e-01
6.461000000000492349e+00,6.929565025736248579e-03,1.589552196844829651e-03,5.176533200257189549e-01
6.481000000000499028e+00,7.026721161975075375e-03,1.588971399984557414e-03,5.174587539426120930e-01
6.501000000000505707e+00,7.120546483816426325e-03,1.590742875899071179e-03,5.172467512348603025e-01
6.521000000000512387e+00,7.216209535867285779e-03,1.593582913429942433e-03,5.170116091937324576e-01
6.541000000000519066e+00,7.318184443537410072e-03,1.596395615502139292e-03,5.167472490762945458e-01
6.561000000000525745e+00,7.426761205333008015e-03,1.599131030810625048e-03,5.164525718482737560e-01
6.581000000000532424e+00,7.542061138681447480e-03,1.601787631749191504e-03,5.161265952788929301e-01
6.601000000000539103e+00,7.664233197648907120e-03,1.604364671644837453e-03,5.157681906184086174e-01
6.621000000000545782e+00,7.818353337244263873e-03,1.600996658581061577e-03,5.153400010285944521e-01
6.641000000000552461e+00,8.020198208742949225e-03,1.588184053984326854e-03,5.148130324348924036e-01
6.661000000000559140e+00,8.216359015751215772e-03,1.578624568851400706e-03,5.142624560121310529e-01
6.681000000000565819e+00,8.404867170593844500e-03,1.572787114878865938e-03,5.136917662406845775e-01
6.701000000000572498e+00,8.585947583481638029e-03,1.570628594768714442e-03,5.131012782253747684e-01
6.721000000000579178e+00,8.759981724904390005e-03,1.572095406451385485e-03,5.124919171346865587e-01
6.741000000000585857e+00,8.927542252318208110e-03,1.553938119046933269e-03,5.118704274552888789e-01
6.761000000000592536e+00,9.089078854277014147e-03,1.538250926829704684e-03,5.112416908995724985e-01
6.781000000000599215e+00,9.244802038284209017e-03,1.525199349450574032e-03,5.106061459316089124e-01
6.801000000000605894e+00,9.394947150923694396e-03,1.514715572652165082e-03,5.099642278358444969e-01
6.821000000000612573e+00,9.539785240222701385e-03,1.506734752332001409e-03,5.093165482334599536e-01
